,sample,interval_left,interval_right,time,true_location_0,true_location_1,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_1_estimated_location_0,window_1_variance_in_estimated_location_0,window_1_estimated_location_1,window_1_variance_in_estimated_location_1,window_5_estimated_location_0,window_5_variance_in_estimated_location_0,window_5_estimated_location_1,window_5_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,window_0_error_0,window_0_abs_error_0,window_1_error_0,window_1_abs_error_0,window_5_error_0,window_5_abs_error_0,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,window_10_estimated_location_0,window_10_variance_in_estimated_location_0,window_10_estimated_location_1,window_10_variance_in_estimated_location_1,window_10_error_0,window_10_abs_error_0,window_20_estimated_location_0,window_20_variance_in_estimated_location_0,window_20_estimated_location_1,window_20_variance_in_estimated_location_1,window_20_error_0,window_20_abs_error_0,window_40_estimated_location_0,window_40_variance_in_estimated_location_0,window_40_estimated_location_1,window_40_variance_in_estimated_location_1,window_40_error_0,window_40_abs_error_0,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0
556,790,343982.0,344304.0,1771,81.23439572948745,99.94749190672682,63.15240160020173,80.79708665295557,66.67215395366927,80.79708665295557,80.25443642818999,135.5003373744365,83.8557911877017,135.5003373744365,80.25443642814446,135.08375713422708,83.8557911877748,135.08375713422708,80.25443642821155,135.0820278099894,83.85579118774913,135.0820278099894,18.081994129285718,18.081994129285718,0.9799593012974555,0.9799593012974555,0.979959301342987,0.979959301342987,0.9799593012758976,0.9799593012758976,77.11377416228378,87.88896993198142,4.120621567203671,4.120621567203671,80.25443642813816,133.7267376723011,83.85579118782833,133.7267376723011,0.9799593013492824,0.9799593013492824,80.2544364282787,133.2232502837682,83.8557911877706,133.2232502837682,0.9799593012087513,0.9799593012087513,80.25443642819145,130.94646794800732,83.85579118781321,130.94646794800732,0.9799593012959917,0.9799593012959917,82.37541618160319,128.1631678790305,80.87709276260082,128.1631678790305,-1.1410204521157397,1.1410204521157397
557,115,65885.0,66217.0,1296,32.0730574956405,52.25982293315227,43.18691683458503,107.67427985822918,59.62430072368029,107.67427985822918,31.272351265027083,200.1557509685559,66.07818499328825,200.1557509685559,31.270373044172562,200.15568894298417,66.09566439198959,200.15568894298417,31.273970840793236,200.12789539870857,66.09564866649916,200.12789539870857,-11.113859338944529,11.113859338944529,0.8007062306134145,0.8007062306134145,0.8026844514679361,0.8026844514679361,0.7990866548472617,0.7990866548472617,38.83226113412792,63.58931712842536,-6.759203638487421,6.759203638487421,31.199706536718725,186.9684665264753,65.40752375560731,186.9684665264753,0.8733509589217725,0.8733509589217725,33.76771372634606,185.2961092648485,61.82820471748056,185.2961092648485,-1.6946562307055615,1.6946562307055615,33.94360681965257,185.19457980311535,61.64109830836394,185.19457980311535,-1.8705493240120745,1.8705493240120745,34.424287239327995,182.9052192704084,60.67715392546225,182.9052192704084,-2.3512297436874974,2.3512297436874974
558,274,184683.0,185170.0,1894,91.2256499604657,34.75826029583375,66.35603873925761,40.97051571745408,35.357186798782834,40.97051571745408,67.38583116941588,76.57967230311442,22.11252016713563,76.57967230311442,67.38583116945816,76.53758475934808,22.112520167156504,76.53758475934808,67.38585276414675,76.45538242496369,22.11910299390605,76.45538242496369,24.86961122120809,24.86961122120809,23.839818791049822,23.839818791049822,23.839818791007545,23.839818791007545,23.839797196318955,23.839797196318955,79.03979131383257,16.790067235413197,12.185858646633136,12.185858646633136,70.36591000765343,76.24371601195494,20.562172924568646,76.24371601195494,20.859739952812276,20.859739952812276,74.0925965290633,74.64174033834138,22.168642129665766,74.64174033834138,17.133053431402402,17.133053431402402,74.3545587224112,74.38446772534274,22.77667507314519,74.38446772534274,16.871091238054504,16.871091238054504,75.73653493266784,69.63510155960805,25.812996552548615,69.63510155960805,15.489115027797865,15.489115027797865
559,900,43979.0,44363.0,1704,72.97748707717544,85.6036760340355,58.51013048338952,64.42963727373005,59.358300283369886,64.42963727373005,78.0075753507615,121.9059024711667,74.97036972131181,121.9059024711667,78.00757535075115,121.873303103959,74.97036972126196,121.873303103959,78.00757535064727,121.86957790305206,74.97036972135882,121.86957790305206,14.467356593785922,14.467356593785922,-5.03008827358606,5.03008827358606,-5.030088273575714,5.030088273575714,-5.030088273471833,5.030088273471833,67.59002664151325,60.53964321178216,5.387460435662192,5.387460435662192,78.00757535077643,121.71102933513556,74.97036972127214,121.71102933513556,-5.030088273600995,5.030088273600995,79.80640332740714,119.47913342551037,72.85321262069286,119.47913342551037,-6.8289162502317,6.8289162502317,74.27147888200099,113.98108402706367,68.04425952571684,113.98108402706367,-1.293991804825552,1.293991804825552,72.4297091719272,113.34907268006688,68.60776617910506,113.34907268006688,0.547777905248239,0.547777905248239
560,260,766778.0,766976.0,815,35.085810966772016,30.61846213324053,36.34672599546515,50.09758564616294,32.822981536977565,50.09758564616294,27.5519727559274,169.9829430794888,27.868161747058473,169.9829430794888,27.55197275592681,169.98140156045804,27.868161747060615,169.98140156045804,27.551972755925103,169.95443839377745,27.868161747049005,169.95443839377745,-1.2609150286931339,1.2609150286931339,7.533838210844614,7.533838210844614,7.533838210845207,7.533838210845207,7.533838210846913,7.533838210846913,23.103032517479047,30.152661501069016,11.982778449292969,11.982778449292969,27.551972755908967,169.93903255699536,27.868161747059112,169.93903255699536,7.533838210863049,7.533838210863049,29.77318825609867,168.85557080850498,27.379526678913145,168.85557080850498,5.312622710673345,5.312622710673345,29.75793438595872,167.30106082534363,27.377090782720668,167.30106082534363,5.327876580813296,5.327876580813296,25.578040221023848,160.23249564585825,26.96915940032722,160.23249564585825,9.507770745748168,9.507770745748168
561,531,63759.0,64405.0,1448,17.42562437176116,44.9232257426303,36.55924570085853,56.192690020525134,34.965372368282885,56.192690020525134,32.00516740251101,146.6952110858552,26.96798463588758,146.6952110858552,32.00516740252443,146.69039117972054,26.967984635889795,146.69039117972054,32.03709125311124,146.55780400968197,27.21731380838458,146.55780400968197,-19.133621329097373,19.133621329097373,-14.579543030749853,14.579543030749853,-14.579543030763269,14.579543030763269,-14.611466881350083,14.611466881350083,32.01907331170089,37.41758636286969,-14.593448939939734,14.593448939939734,31.706580219732803,146.28141974519014,28.98762133241436,146.28141974519014,-14.280955847971644,14.280955847971644,31.709837517308085,146.15464890726636,28.98640089809048,146.15464890726636,-14.284213145546925,14.284213145546925,31.704154844925387,146.12058337434047,28.989460957389994,146.12058337434047,-14.278530473164228,14.278530473164228,34.04506231808843,138.55154929113866,29.745889914306833,138.55154929113866,-16.619437946327274,16.619437946327274
562,269,724943.0,725052.0,1620,43.77489298015138,91.80497142536358,47.63345984863801,76.89997971017407,65.84734746320703,76.89997971017407,57.23738524291814,180.08048850687302,67.69223472122665,180.08048850687302,54.10266356866805,180.05243851062684,67.1622638128327,180.05243851062684,54.102663568690744,179.86107276911113,67.16226381286026,179.86107276911113,-3.8585668684866334,3.8585668684866334,-13.462492262766759,13.462492262766759,-10.327770588516671,10.327770588516671,-10.327770588539366,10.327770588539366,53.184879158976486,69.90208225818023,-9.409986178825108,9.409986178825108,54.09643627081812,179.83426739290695,67.16373112623829,179.83426739290695,-10.321543290666739,10.321543290666739,54.244554372620605,178.86917772205325,67.3045508507805,178.86917772205325,-10.469661392469227,10.469661392469227,54.139540575614866,177.95856466566875,67.10978490276528,177.95856466566875,-10.364647595463488,10.364647595463488,44.67790588999428,116.96982267280073,64.03186177779241,116.96982267280073,-0.9030129098429001,0.9030129098429001
563,748,678807.0,678950.0,1681,99.87119796902651,56.54499754421931,65.79792549860265,77.1679611500345,44.41451619858372,77.1679611500345,54.97646360575478,146.1904288628142,54.237451645127955,146.1904288628142,54.97646360575874,146.09884189757378,54.23745164513791,146.09884189757378,54.880693597893455,145.83529101640025,54.240308737629256,145.83529101640025,34.07327247042386,34.07327247042386,44.89473436327173,44.89473436327173,44.89473436326777,44.89473436326777,44.990504371133056,44.990504371133056,56.9450326571867,57.63238109459819,42.92616531183981,42.92616531183981,54.8695195769298,145.78871325100144,54.22724201261267,145.78871325100144,45.001678392096714,45.001678392096714,56.91323625561254,142.89162140761573,55.5106678594728,142.89162140761573,42.95796171341397,42.95796171341397,56.853703706454475,141.9873557267649,55.34824539949899,141.9873557267649,43.017494262572036,43.017494262572036,54.99721332949663,138.837022801261,53.677843425057816,138.837022801261,44.87398463952988,44.87398463952988
564,727,397503.0,397678.0,1327,80.45094473184771,55.24827343405492,61.02418239153762,63.660733974113896,43.909411739155594,63.660733974113896,55.19294964415801,210.64023933381677,46.95313723365322,210.64023933381677,55.192949644165154,210.6396548985042,46.95313723366123,210.6396548985042,55.19641437768473,210.39048763312394,46.97752976067704,210.39048763312394,19.42676234031009,19.42676234031009,25.2579950876897,25.2579950876897,25.25799508768256,25.25799508768256,25.25453035416298,25.25453035416298,54.30540841123017,53.57713897063741,26.145536320617545,26.145536320617545,55.19641437771319,210.17763853183263,46.97752976056953,210.17763853183263,25.254530354134523,25.254530354134523,53.849525451962975,207.00038253445214,48.80937430033108,207.00038253445214,26.601419279884738,26.601419279884738,58.514648224490095,142.1052853198712,40.88664213694615,142.1052853198712,21.936296507357618,21.936296507357618,58.920819122816454,138.12413034405267,41.01149248762389,138.12413034405267,21.53012560903126,21.53012560903126
565,9,902072.0,903678.0,597,42.5524984510573,53.47883297047307,43.91668770386969,31.314734025380545,46.55556259833243,31.314734025380545,32.11703978536037,93.54404440938248,44.87197266943106,93.54404440938248,32.11703978535341,93.54400212987886,44.87197266942789,93.54400212987886,32.11703978535721,93.54346359764563,44.8719726694303,93.54346359764563,-1.3641892528123876,1.3641892528123876,10.435458665696935,10.435458665696935,10.43545866570389,10.43545866570389,10.435458665700097,10.435458665700097,34.90616510248373,48.22665087466391,7.64633334857357,7.64633334857357,34.09911701907647,92.14716324586385,44.539443380767125,92.14716324586385,8.45338143198083,8.45338143198083,33.76557462725117,91.96881014994187,44.111046140546534,91.96881014994187,8.786923823806134,8.786923823806134,32.601348126018415,84.04783580411036,46.114247323956455,84.04783580411036,9.951150325038888,9.951150325038888,36.55859803474002,61.1327304648391,42.809796132115295,61.1327304648391,5.993900416317281,5.993900416317281
