,sample,genome_position,time,true_location_0,true_location_1,true_dist_to_center,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_error_1,midpoint_abs_error_1,midpoint_abs_error,midpoint_dist_to_center,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,arg_error_1,arg_abs_error_1,arg_abs_error,arg_dist_to_center,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_error_1,window_0_abs_error_1,window_0_abs_error,window_0_dist_to_center,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_error_1,window_100_abs_error_1,window_100_abs_error,window_100_dist_to_center
946,190,488059.75864176586,1760,130.99300651981144,122.90850646824612,32.57601100933294,150.0512474166987,141.4079838723156,-19.05824089688724,19.05824089688724,-18.499477404069495,18.499477404069495,26.56025621690166,8.786036931542123,488059.75864176586,146.24374607360383,99.04404589241449,145.69468660377893,93.10096896225734,-15.250739553792386,15.250739553792386,-22.786180135532817,22.786180135532817,27.41888148897686,5.162231295246697,151.4051452377007,191.62091541402782,144.01160625204614,182.26014832973308,-20.412138717889263,20.412138717889263,-21.10309978380002,21.10309978380002,29.359772266204217,6.599550744858109,151.7331412822189,172.43208948543634,146.28790654045173,163.75747491482474,-20.74013476240745,20.74013476240745,-23.379400072205613,23.379400072205613,31.252992459908057,4.762408300740414
947,517,741579.2609833662,621,173.8394471687027,129.5756780760117,32.30794987591051,158.38379521243144,144.6762941757709,15.455651956271254,15.455651956271254,-15.10061609975918,15.10061609975918,21.60800277641822,10.931159887389502,741579.2609833662,153.642251215763,33.021370323821394,144.1469355163361,31.03994334953511,20.197195952939694,20.197195952939694,-14.571257440324388,14.571257440324388,24.904784033467394,7.62334992960371,161.00998833514512,81.48472879333661,149.14363330404365,77.85281218751496,12.829458833557567,12.829458833557567,-19.567955228031934,19.567955228031934,23.39871547261111,12.145363825606278,153.09017534001276,52.35757799127574,145.483774463233,48.97356564871819,20.749271828689928,20.749271828689928,-15.908096387221292,15.908096387221292,26.14574175819054,6.245693154124351
948,281,789175.920686371,483,173.66222840712055,112.36237057465037,45.15001851235859,155.82299308589177,130.43265089946226,17.839235321228784,17.839235321228784,-18.07028032481189,18.07028032481189,25.39238759674758,20.866678034784858,789175.920686371,153.69659201221594,31.852210107812077,136.3590334740904,29.94093787170127,19.965636394904607,19.965636394904607,-23.99666289944004,23.99666289944004,31.216445456888607,14.570553236399828,157.31104652975776,69.59996450889915,131.04271040258172,66.06102712045427,16.35118187736279,16.35118187736279,-18.68033982793135,18.68033982793135,24.825717409041687,20.846521741434742,154.8066326943687,63.47317387013222,132.2716204016151,59.46432423657166,18.855595712751864,18.855595712751864,-19.90924982696474,19.90924982696474,27.4210087041896,18.79797773694305
949,58,139785.40158702724,223,159.28651125231116,140.19614607611905,14.361704233394372,158.33827002987633,143.97279854067435,0.9482412224348309,0.9482412224348309,-3.7766524645552977,3.7766524645552977,3.8938753516203244,11.259733779522563,139785.40158702724,157.32031859031795,16.481457964851156,143.7688024970329,15.492498237654031,1.9661926619932046,1.9661926619932046,-3.5726564209138587,3.5726564209138587,4.077963644513392,10.543213921143161,159.49744988743458,32.36100385933538,144.384776292165,30.904426507517638,-0.21093863512342637,0.21093863512342637,-4.1886302160459365,4.1886302160459365,4.193938267852874,12.045888601633779,159.3633803291925,25.179031035043412,142.80556481464615,24.262288717452442,-0.07686907688133715,0.07686907688133715,-2.609418738527097,2.609418738527097,2.610550709707999,12.76264656712909
950,748,378831.18911234534,1563,192.46436738123157,104.94485648770917,62.755103150592575,161.00305450737443,132.48541912647622,31.46131287385714,31.46131287385714,-27.540562638767042,27.540562638767042,41.81263921599042,21.385190601490635,378831.18911234534,153.36332605970176,130.69446376540316,140.84490390321184,122.85222301781558,39.101041321529806,39.101041321529806,-35.90004741550267,35.90004741550267,53.08205757940551,10.290372049944606,161.75970588134447,521.9848421138531,135.50765136522134,521.9848421138531,30.704661499887095,30.704661499887095,-30.56279487751216,30.56279487751216,43.322750011368534,19.461715584155538,156.49574654147574,313.444164546927,133.86589395418417,313.444164546927,35.96862083975583,35.96862083975583,-28.921037466475,28.921037466475,46.15374408703337,17.938597568356702
951,388,324475.07437858445,1173,166.65404974696943,142.48207473247402,19.323284855119947,146.86840177106635,139.04408792809912,19.78564797590309,19.78564797590309,3.4379868043749013,3.4379868043749013,20.082121877267202,11.260181546843821,324475.07437858445,150.5277119290241,57.57023952823744,149.1969308809987,54.115772787495246,16.12633781794534,16.12633781794534,-6.714856148524689,6.714856148524689,17.46848775692601,1.867290854771998,147.77887700052278,201.1226069916697,141.62510118280483,193.55710814792673,18.87517274644665,18.87517274644665,0.8569735496691919,0.8569735496691919,18.89461695491695,8.567848660523717,150.87874943468833,86.0628527616665,148.5223142798733,81.92402766848365,15.775300312281104,15.775300312281104,-6.040239547399295,6.040239547399295,16.892145918521503,2.539483604763159
952,563,66752.69515829174,426,128.84536691615193,155.97828442941497,20.896793262282465,143.84915841018912,161.24057361313524,-15.003791494037188,15.003791494037188,-5.26228918372027,5.26228918372027,15.899856812237084,12.2165521551632,66752.69515829174,140.15511326608535,27.50941293180392,153.72639344889345,25.858727563652053,-11.30974634993342,11.30974634993342,2.251890980521523,2.251890980521523,11.531755091398121,9.463352027961406,147.086104101655,53.854493953047786,159.7903696010217,51.87512824374533,-18.240737185503065,18.240737185503065,-3.812085171606725,3.812085171606725,18.63481919488832,9.840928753596895,143.22625330132027,40.473214887367504,158.557234251879,39.01373665804938,-14.380886385168338,14.380886385168338,-2.5789498224640397,2.5789498224640397,14.610300318949895,10.170669428859453
953,115,391631.4832851776,1381,138.3494034209293,156.48554514060268,12.32606072137995,143.6718655758001,161.2943589909216,-5.322462154870806,5.322462154870806,-4.808813850318927,4.808813850318927,7.173095150425032,12.339658347036364,391631.4832851776,145.3677265014133,39.46839510063885,152.34632998789812,37.10011837810142,-7.018323080484009,7.018323080484009,4.1392151527045655,4.1392151527045655,8.148003494257575,4.179241488246919,146.2514483445477,371.47152022619815,160.49222583207617,358.746581079617,-7.902044923618405,7.902044923618405,-4.006680691473491,4.006680691473491,8.859785783996692,10.707176415056574,144.3196188472871,225.0254724407376,160.35454697368974,213.81837024881665,-5.970215426357811,5.970215426357811,-3.8690018330870544,3.8690018330870544,7.114256631690465,11.215438176716697
954,533,711409.2775477879,1989,203.42889196029284,101.05156253981427,73.3523909979055,155.82299308589177,130.43265089946226,47.60589887440108,47.60589887440108,-29.38108835964799,29.38108835964799,55.942559476995186,20.866678034784858,711409.2775477879,153.34105212856844,228.85776583892635,140.8285652170945,215.12529665120715,50.08783983172441,50.08783983172441,-39.77700267728024,39.77700267728024,63.960938399908095,10.295479830576118,157.2967368212666,577.1967246223555,131.16792211097484,547.1917524500436,46.13215513902625,46.13215513902625,-30.116359571160572,30.116359571160572,55.092384696894555,20.72620680636897,155.06190704827952,588.0027209179235,132.1090254713844,550.4445886211315,48.36698491201332,48.36698491201332,-31.05746293157013,31.05746293157013,57.47983327415605,19.033469177362115
955,362,571706.437011993,724,158.90488272748524,139.96699871810273,14.25059769588458,150.53826177825152,146.05023742350463,8.36662094923372,8.36662094923372,-6.083238705401897,6.083238705401897,10.344377180626019,4.3845585348428475,571706.437011993,152.37292806344428,29.991078306413016,148.61120578055298,28.191482136977548,6.531954664040967,6.531954664040967,-8.64420706245025,8.64420706245025,10.834608782581922,3.7825092400290004,153.05553243318778,61.90318434907875,148.89033706379908,58.60552244870882,5.849350294297466,5.849350294297466,-8.92333834569635,8.92333834569635,10.66962352181054,4.329625424261428,152.4725617873697,43.26380883515081,150.12327872264757,41.186863458393084,6.432320940115545,6.432320940115545,-10.15628000454484,10.15628000454484,12.021845790367063,3.5687301171470542
