num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,top_down_time,paths_modified_time,paths_sum,hybrid_r_sum,top_down_sum,paths_modified_sum
10,5000,9411,6,54,32,0231,1,0.052983999252319336,0.0502469539642334,0.0033578872680664062,0.01086115837097168,30514034.054157108,30514034.054157108,30514034.054157108,30514034.054157108
20,1000,9282,3,85,56,1302,1,0.20659089088439941,0.1502692699432373,0.005457162857055664,0.02942490577697754,87967202.20289381,87967202.2028938,87967202.20289381,87967202.20289381
20,1000,1391,4,88,64,1302,3,0.2935450077056885,0.09817075729370117,0.005315065383911133,0.025232791900634766,38920275.4447404,38920275.4447404,38920275.4447404,38920275.4447404
20,1000,2614,3,85,52,3012,2,0.26727986335754395,0.07681679725646973,0.00534820556640625,0.02313971519470215,100279834.6696276,100279834.6696276,100279834.66962759,100279834.6696276
20,2000,6363,6,94,90,0123,2,0.8528120517730713,0.20892596244812012,0.005584239959716797,0.03876900672912598,211389517.53114697,211389517.53114697,211389517.531147,211389517.53114697
20,2000,6649,3,85,46,1203,1,0.3154571056365967,0.42154979705810547,0.005182027816772461,0.024319887161254883,73915005.93423605,73915005.93423605,73915005.93423605,73915005.93423605
20,2000,2363,5,91,135,0231,2,3.4034199714660645,0.09517407417297363,0.0054357051849365234,0.05413508415222168,948932465.5356755,948932465.5356755,948932465.5356755,948932465.5356755
20,3000,7239,7,97,138,3102,1,3.463616132736206,0.349743127822876,0.006111860275268555,0.06099414825439453,179544179.51431322,179544179.51431322,179544179.51431322,179544179.51431322
20,3000,9127,9,103,110,2310,1,1.7683007717132568,0.4854128360748291,0.00600123405456543,0.047393083572387695,335065984.22550315,335065984.22550315,335065984.22550315,335065984.22550315
20,3000,3355,4,88,97,1302,1,1.3114800453186035,0.1515979766845703,0.005311012268066406,0.03533506393432617,192473232.4612197,192473232.46121973,192473232.46121973,192473232.4612197
20,4000,434,7,97,169,1302,1,5.615514278411865,0.49625611305236816,0.00701904296875,0.06926393508911133,505124247.35645044,505124247.3564505,505124247.35645044,505124247.35645044
20,4000,8813,5,91,124,0213,1,2.432297945022583,0.18458986282348633,0.005542755126953125,0.04668688774108887,301438451.05249774,301438451.05249774,301438451.05249774,301438451.05249774
20,4000,2806,6,94,78,3210,1,0.7870590686798096,0.18298792839050293,0.005816936492919922,0.03671693801879883,54978636.3306062,54978636.33060619,54978636.3306062,54978636.3306062
20,5000,8745,14,121,475,0231,2,74.62920188903809,7.8984551429748535,0.012529850006103516,0.3973236083984375,12006822729.427546,12006822729.427546,12006822729.427544,12006822729.427546
20,5000,6493,7,97,293,2310,1,22.11229681968689,2.83074688911438,0.0075702667236328125,0.17759203910827637,1427285113.3377814,1427285113.3377817,1427285113.3377814,1427285113.3377814
20,5000,2565,10,106,179,0231,1,5.327209949493408,1.6563830375671387,0.006670951843261719,0.07614779472351074,720681846.8256136,720681846.8256136,720681846.8256136,720681846.8256136
30,1000,4507,5,131,82,2301,2,1.9847898483276367,0.22927594184875488,0.011249065399169922,0.0637807846069336,102320298.34578028,102320298.34578028,102320298.34578028,102320298.34578028
30,1000,2338,3,125,85,3120,2,1.0220017433166504,0.3273639678955078,0.00782012939453125,0.050900936126708984,72794065.27702904,72794065.27702904,72794065.27702904,72794065.27702904
30,1000,5017,3,125,121,2130,2,3.1272480487823486,0.5515508651733398,0.007601261138916016,0.06448721885681152,158865756.83382815,158865756.83382812,158865756.83382815,158865756.83382815
30,2000,191,9,143,171,2301,1,5.529942035675049,0.6841919422149658,0.009215831756591797,0.09285569190979004,871547151.5455481,871547151.5455482,871547151.5455482,871547151.5455481
30,2000,5591,12,152,356,0312,1,33.193422079086304,3.4804670810699463,0.013256311416625977,0.2300410270690918,2515866218.9824767,2515866218.982476,2515866218.982477,2515866218.9824767
