num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
50,3000,2574,9,223,532,10,0.03301882743835449,0.5296201705932617,12350786891.215414,12350786891.215412
50,3000,9224,8,220,271,01,0.015249252319335938,0.2128150463104248,1123616093.6847873,1123616093.6847873
50,4000,2185,6,214,125,01,0.014556884765625,0.1256108283996582,48622885.56009965,48622885.56009965
50,4000,5391,9,223,456,01,0.024586915969848633,0.4563007354736328,9604506549.18795,9604506549.187948
50,4000,5157,17,247,4421,10,2.5898921489715576,47.306008100509644,1390930295290.0957,1390930295290.094
50,5000,6310,21,259,1636,10,0.3654153347015381,4.815322160720825,92913348238.73207,92913348238.73212
50,5000,2040,6,214,217,01,0.01798701286315918,0.17667031288146973,1286852491.7686424,1286852491.7686424
50,5000,7857,13,238,517,01,0.03392624855041504,0.5699927806854248,12898689704.273687,12898689704.273684
70,1000,2406,4,288,200,10,0.02041006088256836,0.6373987197875977,179949782.3746674,179949782.3746674
70,1000,1770,5,291,175,01,0.019488811492919922,0.23669004440307617,320211938.6020425,320211938.6020425
70,1000,6664,4,288,235,01,0.02125692367553711,0.26473402976989746,495971819.32367134,495971819.3236713
70,2000,4255,3,285,223,01,0.018701791763305664,0.25783395767211914,948890888.220639,948890888.220639
70,2000,3100,5,291,186,01,0.01828789710998535,0.22130203247070312,270014615.5100017,270014615.5100017
70,2000,8935,2,282,200,01,0.018210172653198242,0.2281360626220703,232015742.9651177,232015742.9651177
70,3000,4587,7,297,200,10,0.021322011947631836,0.2539949417114258,1560172248.2741764,1560172248.2741766
70,3000,6862,4,288,225,01,0.021319150924682617,0.24678707122802734,1207708513.187562,1207708513.187562
70,3000,9618,5,291,312,01,0.02142024040222168,0.33792877197265625,2843325822.7669034,2843325822.766904
70,4000,2602,12,312,318,01,0.023792028427124023,0.3426990509033203,4372308319.635417,4372308319.635417
70,4000,1439,10,306,353,10,0.024636030197143555,0.36787915229797363,892066494.9860481,892066494.9860481
70,4000,9159,9,303,481,10,0.03767514228820801,0.5212850570678711,9298382398.816277,9298382398.816277
70,5000,6718,6,294,411,01,0.02530694007873535,0.48208022117614746,4583753661.201324,4583753661.201324
70,5000,2477,14,321,416,01,0.03279685974121094,0.5474648475646973,6607536586.122605,6607536586.122605
70,5000,9367,13,315,240,01,0.02178788185119629,0.2823679447174072,261431403.64436215,261431403.64436218
90,1000,1233,3,365,199,01,0.031135082244873047,0.32845306396484375,519783447.2113334,519783447.21133345
90,1000,4168,5,371,353,10,0.028775930404663086,0.46805310249328613,2456698105.8234963,2456698105.823496
90,1000,2581,4,368,412,10,0.03682684898376465,0.5445907115936279,5724981630.301504,5724981630.301505
90,2000,7141,6,374,191,01,0.026861190795898438,0.3276216983795166,475180126.27285135,475180126.27285135
90,2000,2350,6,374,579,01,0.06624221801757812,0.7279949188232422,10277205432.122906,10277205432.122908
90,2000,3793,6,374,220,10,0.023926973342895508,0.3495161533355713,972760399.2605481,972760399.2605481
90,3000,6859,8,380,424,10,0.03296995162963867,0.5532007217407227,4981416636.36494,4981416636.36494
