num_samples,sequence_length,seed,num_trees,nodes,num_paths,num_loop_groups,max_loop_size
350,6000,1038,21,1459,3268,2,131
350,7000,5368,28,1480,9661,1,133
350,8000,473,25,1474,28061,2,114
350,9000,656,23,1465,5465,1,119
350,10000,4220,27,1477,6250,1,128
400,1000,6833,2,1602,801,1,13
400,2000,9603,7,1617,1342,4,13
400,3000,9275,10,1626,1598,1,66
400,4000,1227,11,1629,1827,2,69
400,5000,9916,20,1656,2538,1,89
400,6000,5122,18,1653,3247,1,100
400,7000,306,19,1653,1912,2,99
400,8000,691,22,1662,2094,1,137
400,9000,3097,25,1680,12032,2,108
400,10000,9575,36,1704,10957,1,155
450,1000,8433,2,1802,901,1,15
450,2000,6924,4,1808,966,1,15
450,3000,2554,11,1829,1842,1,73
450,4000,1856,15,1841,2542,1,102
450,5000,5784,13,1835,3232,2,83
450,6000,6400,14,1838,3033,1,79
450,7000,6143,16,1844,2174,1,104
450,8000,9652,19,1853,6968,2,96
450,9000,3673,32,1904,73594,2,149
450,10000,1563,28,1880,2806,2,116
500,1000,6606,9,2023,7027,1,48
500,2000,9437,11,2029,4670,4,34
500,3000,1626,11,2029,5729,1,34
500,4000,4466,18,2053,5751,2,89
500,5000,3986,29,2095,931608,1,126
500,6000,460,20,2056,1927,1,109
500,7000,5522,30,2086,5449,2,139
500,8000,3857,23,2068,1775,1,142
500,9000,9387,22,2062,16624,3,83
500,10000,9876,19,2053,2898,2,107
50,1000,5251,3,205,160,2,3
50,2000,6096,4,208,133,2,10
50,3000,7404,9,223,377,2,31
50,4000,768,10,226,366,2,30
50,5000,3314,5,211,135,2,21
50,6000,7442,19,256,779,1,71
50,7000,6860,18,253,697,2,62
50,8000,2085,15,241,474,1,53
50,9000,3559,21,259,5346,1,54
50,10000,7330,19,253,1004,2,54
100,1000,476,4,408,414,2,7
100,2000,6292,5,411,268,1,26
100,3000,2577,9,423,742,2,23
100,4000,7371,17,450,1227,2,71
100,5000,9371,11,429,1053,1,44
100,6000,5536,12,432,463,1,46
100,7000,1872,15,441,612,1,54
100,8000,8575,19,456,3632,2,73
100,9000,6131,15,441,1212,2,54
100,10000,8887,20,462,5140,2,78
150,1000,2575,4,608,880,2,5
150,2000,6572,7,617,901,3,20
150,3000,1222,7,617,336,2,36
150,4000,3895,9,623,1001,1,34
150,5000,9538,14,638,783,1,83
150,6000,4246,23,665,2346,1,107
150,7000,5249,21,662,6870,1,80
150,8000,5947,29,683,1074,1,130
150,9000,1066,27,677,13124,2,97
150,10000,6390,45,743,703440,2,147
200,1000,3185,3,805,404,1,24
200,2000,6531,4,808,417,2,29
200,3000,3611,7,817,525,1,47
200,4000,556,20,856,4483,2,68
200,5000,8034,18,850,1307,3,72
200,6000,696,21,862,12866,1,97
200,7000,19,18,856,5256,1,88
200,8000,2517,23,865,3959,1,95
200,9000,7279,30,895,20260,3,110
200,10000,8001,17,847,987,1,83
250,1000,8855,4,1008,1762,3,20
250,2000,2300,7,1020,1626,2,32
250,3000,8484,10,1026,792,1,54
250,4000,1009,16,1044,2171,1,53
250,5000,7662,12,1038,3093,1,72
250,6000,4357,18,1050,1211,3,74
250,7000,9173,19,1053,5898,1,81
250,8000,8851,19,1056,8106,1,84
250,9000,4032,27,1077,3416,2,116
250,10000,4527,34,1101,15223,1,108
300,1000,7449,2,1202,614,1,9
300,2000,3309,8,1220,1124,1,45
300,3000,3765,11,1229,1332,2,53
300,4000,2437,12,1232,2090,1,74
300,5000,7123,16,1244,9076,2,86
300,6000,4081,7,1220,2868,1,55
300,7000,6368,10,1226,1236,1,53
300,8000,8916,27,1277,4031,1,128
300,9000,3183,28,1283,18842,2,114
300,10000,2119,37,1307,27990,1,142
350,1000,6159,2,1402,789,1,6
350,2000,7891,6,1414,1319,2,40
350,3000,4651,6,1414,842,2,34
350,4000,8474,11,1429,1700,1,56
350,5000,8532,22,1462,6307,1,103
350,6000,8368,18,1450,3657,1,99
350,7000,8476,22,1462,1210,1,122
350,8000,7985,21,1459,4993,2,87
350,9000,2981,23,1471,16916,2,97
350,10000,5872,29,1483,3304,1,143
400,1000,1796,2,1602,1053,1,5
400,2000,5439,8,1620,1696,1,52
400,3000,4958,11,1629,1193,1,81
400,4000,2183,15,1641,1511,2,88
400,5000,7222,13,1635,2174,1,69
400,6000,6173,22,1665,8435,1,145
400,7000,7448,16,1644,2478,1,73
400,8000,1165,17,1647,1747,1,114
400,9000,1609,23,1665,3792,1,124
400,10000,6487,31,1689,9835,2,156
450,1000,6438,7,1817,1419,2,39
