num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,paths_time,hybrid_r_time,hybrid_nr_time,paths_sum,hybrid_r_sum,hybrid_nr_sum
10,1000,6859,2,42,21,012,0.014510869979858398,0.02264094352722168,0.011016130447387695,15470807.070749264,15470807.070749264,15470807.070749262
10,1000,1938,2,42,25,210,0.025230884552001953,0.03442096710205078,0.01629018783569336,7355369.53163967,7355369.53163967,7355369.531639669
10,1000,477,1,39,20,210,0.019927978515625,0.055376291275024414,0.023624897003173828,5817116.64116621,5817116.64116621,5817116.64116621
10,1000,9481,2,42,22,102,0.020097017288208008,0.0332188606262207,0.01638317108154297,12033358.61903045,12033358.61903045,12033358.61903045
10,1000,5645,3,45,23,210,0.01629805564880371,0.04111814498901367,0.03916597366333008,11535360.62131781,11535360.62131781,11535360.62131781
10,1000,4945,4,48,28,201,0.03619790077209473,0.031002283096313477,0.016629934310913086,10163584.113548398,10163584.113548398,10163584.113548398
10,1000,3270,1,39,20,012,0.014167070388793945,0.04251289367675781,0.016349077224731445,5424987.890999028,5424987.890999028,5424987.890999028
10,1000,1116,2,42,29,102,0.0430450439453125,0.03480195999145508,0.016579627990722656,9102111.60345822,9102111.60345822,9102111.603458218
10,1000,4662,2,42,34,201,0.05639195442199707,0.03368782997131348,0.016025066375732422,15846938.366944812,15846938.366944812,15846938.366944812
10,1000,2188,3,45,31,210,0.04328513145446777,0.03545403480529785,0.01976609230041504,8356469.837616572,8356469.83761657,8356469.837616572
10,2000,264,1,39,20,102,0.015244007110595703,0.05167698860168457,0.021507978439331055,1930116.2240899284,1930116.2240899284,1930116.2240899284
10,2000,1850,4,48,30,210,0.04081416130065918,0.03873181343078613,0.02202129364013672,17465055.740321048,17465055.740321048,17465055.740321048
10,2000,733,4,48,48,201,0.1901102066040039,0.0450282096862793,0.026446104049682617,188865523.65803355,188865523.65803358,188865523.65803355
10,2000,3806,1,39,20,210,0.009649991989135742,0.03458213806152344,0.014265060424804688,9499995.73783483,9499995.73783483,9499995.73783483
10,2000,403,3,45,27,012,0.038056135177612305,0.026488065719604492,0.015107154846191406,16966649.077886935,16966649.077886935,16966649.07788693
