num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,hybrid_nr_time,top_down_time,paths_modified_time,paths_sum,hybrid_r_sum,hybrid_nr_sum,top_down_sum,paths_modified_sum
30,1000,2814,2,122,61,32140,1,0.2985270023345947,0.3051881790161133,0.17152619361877441,0.007921934127807617,0.023357868194580078,53327859.31887016,53327859.31887015,53327859.31887015,53327859.31887015,53327859.31887016
40,1000,4426,1,159,80,14023,0,0.7045819759368896,1.8033432960510254,0.7658078670501709,0.008759021759033203,0.04043316841125488,52154249.352038115,52154249.352038115,52154249.352038115,52154249.352038115,52154249.352038115
40,1000,4794,2,162,84,03124,1,1.1243011951446533,0.853705883026123,0.43303704261779785,0.009097099304199219,0.03906393051147461,37721908.68375518,37721908.68375518,37721908.683755174,37721908.68375519,37721908.68375518
40,1000,9450,5,171,134,34201,1,4.083417177200317,0.5497381687164307,0.28823113441467285,0.011968135833740234,0.06613874435424805,114411890.78209141,114411890.7820914,114411890.7820914,114411890.7820914,114411890.7820914
40,1000,2261,3,165,86,41302,1,1.1242589950561523,0.6048760414123535,0.3146491050720215,0.01153111457824707,0.04451918601989746,88430746.8202709,88430746.82027088,88430746.82027088,88430746.82027087,88430746.8202709
40,1000,1807,1,159,80,13402,0,0.7162129878997803,1.8338592052459717,0.7980411052703857,0.008018732070922852,0.03650999069213867,77044975.934582,77044975.934582,77044975.934582,77044975.93458198,77044975.934582
50,1000,6142,2,202,119,03214,1,4.18384313583374,5.908232927322388,2.9618539810180664,0.01281881332397461,0.06595993041992188,196232079.21453285,196232079.21453282,196232079.21453285,196232079.21453285,196232079.21453285
50,1000,8792,4,208,153,30412,3,4.8444249629974365,1.782560110092163,0.9444859027862549,0.011896133422851562,0.07961082458496094,377475976.09695184,377475976.09695184,377475976.0969518,166458525.9670811,377475976.09695184
50,1000,8927,2,202,108,01342,1,2.8162190914154053,2.0658581256866455,1.2303979396820068,0.016167879104614258,0.08789706230163574,123335169.8521721,123335169.85217212,123335169.85217212,123335169.8521721,123335169.8521721
50,1000,8525,2,202,124,20341,1,3.8174140453338623,4.576555967330933,2.230966091156006,0.014222145080566406,0.07229113578796387,145182508.962372,145182508.962372,145182508.962372,145182508.96237198,145182508.962372
50,1000,313,4,208,119,10432,2,2.664278030395508,1.0582656860351562,0.6313090324401855,0.011833906173706055,0.07003402709960938,121442396.9805504,121442396.9805504,120885659.71604013,111682254.44615924,121442396.9805504
60,1000,1759,2,242,121,03412,1,4.920521020889282,1.4440770149230957,0.7566192150115967,0.014185905456542969,0.09004426002502441,308341201.0029295,308341201.0029295,308341201.0029295,308341201.0029295,308341201.0029295
