num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
30,5000,9331,10,146,324,01,0.4324209690093994,0.24988627433776855,2052085484.2096844,2052085484.2096844
50,1000,5515,2,202,148,10,0.2402482032775879,0.14014601707458496,1008666592.7760861,1008666592.7760862
50,1000,9707,3,205,117,10,0.16613984107971191,0.11628174781799316,134569462.44444388,134569462.44444385
50,1000,7477,1,199,100,10,0.129180908203125,0.10474586486816406,49550466.96658184,49550466.96658184
50,2000,3200,5,211,196,01,0.3596522808074951,0.18357086181640625,805179363.7340245,805179363.7340246
50,2000,141,5,211,165,10,0.2856791019439697,0.15169787406921387,421290817.2006964,421290817.2006964
50,2000,3925,5,211,281,10,0.4842691421508789,0.22144603729248047,1187578851.5400038,1187578851.5400038
50,3000,363,8,220,215,10,0.4730560779571533,0.18519091606140137,1020225723.6270063,1020225723.6270063
50,3000,7520,12,232,1482,01,5.644068002700806,5.645230770111084,241085696626.60532,241085696626.60544
50,3000,7064,4,208,144,01,0.21491193771362305,0.13060569763183594,226789735.956774,226789735.95677406
50,4000,2298,9,223,232,10,0.4190340042114258,0.19916796684265137,3864836211.545961,3864836211.5459604
50,4000,9350,5,211,307,01,0.5595839023590088,0.25761890411376953,3123600538.2606273,3123600538.2606277
50,4000,1874,2,202,117,10,0.15508508682250977,0.11216592788696289,142007351.1605079,142007351.16050786
50,5000,9848,13,235,1346,10,3.800584316253662,3.6491482257843018,69267240699.92575,69267240699.92574
50,5000,7175,11,229,184,01,0.3167457580566406,0.1738879680633545,165262323.8400723,165262323.8400723
50,5000,7864,11,229,546,01,1.2783801555633545,0.5955328941345215,20626693371.750717,20626693371.75072
70,1000,2374,3,285,155,10,0.3491678237915039,0.22788619995117188,484048969.5399922,484048969.53999215
70,1000,8342,1,279,140,10,0.29724979400634766,0.20035791397094727,168908272.9675242,168908272.9675242
70,1000,1441,9,303,367,10,1.0360288619995117,0.8249349594116211,2290670269.6394553,2290670269.639456
70,2000,7195,3,285,153,10,0.34684324264526367,0.2172558307647705,520201418.634406,520201418.634406
70,2000,8887,5,291,291,01,0.7035892009735107,0.31696319580078125,1114428410.0420382,1114428410.0420382
70,2000,4532,5,291,210,01,0.49246883392333984,0.25603604316711426,1008005269.1081252,1008005269.1081251
70,3000,4289,15,321,1052,10,4.267916202545166,1.8590152263641357,42692948009.480804,42692948009.48078
70,3000,9622,10,306,467,10,1.5004808902740479,0.6281528472900391,6111338914.859234,6111338914.859236
70,3000,1536,5,291,149,10,0.32302403450012207,0.21927189826965332,259048068.51393995,259048068.51393995
70,4000,496,9,303,551,01,1.7218918800354004,0.6550931930541992,3535898570.1854177,3535898570.1854167
70,4000,3966,6,294,293,01,0.7365138530731201,0.3316662311553955,2522728464.2996106,2522728464.2996106
70,4000,3822,10,306,336,10,0.8841209411621094,0.3964111804962158,1923001225.9474127,1923001225.9474127
70,5000,5980,15,321,586,01,1.8443620204925537,1.098578929901123,3346046008.763298,3346046008.7632976
70,5000,8082,12,312,454,01,1.508721113204956,0.7628726959228516,2974830581.2588034,2974830581.2588034
70,5000,2798,10,306,359,10,1.2718300819396973,0.59912109375,2170836102.3798203,2170836102.3798203
90,1000,7837,5,371,244,10,0.6899518966674805,0.421907901763916,1054361001.5852602,1054361001.5852603
90,1000,229,4,368,377,10,1.392482042312622,0.5461690425872803,1368572426.342105,1368572426.3421047
90,1000,7679,3,365,275,10,1.030681848526001,0.5570359230041504,1895563317.0301003,1895563317.0301003
