,sample,genome_position,time,true_location_0,true_location_1,true_dist_to_center,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_abs_error,midpoint_dist_to_center,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_error_0,arg_abs_error_0,arg_abs_error,arg_dist_to_center,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_abs_error,window_0_dist_to_center,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_abs_error,window_100_dist_to_center
122,227,706489.4398362059,1248,15.414217011043595,1000000.0,35.50608907884258,29.143170585341647,997623.2151744016,-13.728953574298052,13.728953574298052,13.728953574298052,21.77713550454453,706489.4398362059,44.056592332558665,162.05632766300167,-28.64237532151507,28.64237532151507,28.64237532151507,6.86371375732751,22.24916955591575,321.5581187669804,998086.9070958641,321.5581187669804,-6.834952544872154,6.834952544872154,6.834952544872154,28.671136533970426,43.424616884454274,165.38526929255022,989046.9441830206,165.38526929255022,-28.010399873410677,28.010399873410677,28.010399873410677,7.495689205431901
123,231,722559.030666315,1237,82.3615991786429,1000000.0,31.44129308875673,73.62446579316625,983750.9189472,8.737133385476653,8.737133385476653,8.737133385476653,22.704159703280077,722559.030666315,60.31827685916903,149.4144316010629,22.043322319473873,22.043322319473873,22.043322319473873,9.397970769282857,72.19727965892427,286.24276062196236,992418.6072038282,286.24276062196236,10.164319519718632,10.164319519718632,10.164319519718632,21.2769735690381,60.86023531248437,155.0857300195326,990749.1364359078,155.0857300195326,21.501363866158535,21.501363866158535,21.501363866158535,9.939929222598195
124,89,353785.5954778847,867,96.55791922939076,1000000.0,45.63761313950459,79.54902233421876,1000000.0,17.008896895172,17.008896895172,17.008896895172,28.628716244332587,353785.5954778847,67.61699674554005,136.30561143982288,28.940922483850713,28.940922483850713,28.940922483850713,16.696690655653875,78.81497347557513,230.16738770574992,1000000.0000009921,230.16738770574992,17.742945753815633,17.742945753815633,17.742945753815633,27.894667385688955,67.6410733708143,136.77755857837283,992720.5575917211,136.77755857837283,28.916845858576465,28.916845858576465,28.916845858576465,16.720767280928122
125,421,824946.3390063331,1957,93.1665709749453,1000000.0,42.24626488505913,74.7576175762661,986606.3512731482,18.408953398679202,18.408953398679202,18.408953398679202,23.837311486379924,824946.3390063331,60.04584509036006,346.79421254180784,33.12072588458524,33.12072588458524,33.12072588458524,9.125539000473886,70.28169231053427,626.360574702701,992289.0423764181,626.360574702701,22.884878664411033,22.884878664411033,22.884878664411033,19.361386220648093,60.56905420388356,349.09839914745305,991699.4983842507,349.09839914745305,32.59751677106174,32.59751677106174,32.59751677106174,9.648748113997385
126,286,512815.35221930663,795,97.9255131487738,1000000.0,47.00520705888763,70.46270952537861,1000000.0,27.46280362339519,27.46280362339519,27.46280362339519,19.54240343549244,512815.35221930663,68.00869865391667,122.3843929031174,29.916814494857135,29.916814494857135,29.916814494857135,17.088392564030492,71.44693375900302,421.5443536373354,1000000.0000000879,421.5443536373354,26.478579389770786,26.478579389770786,26.478579389770786,20.52662766911684,68.00869865369195,122.3843929031174,992837.9036884749,122.3843929031174,29.91681449508185,29.91681449508185,29.91681449508185,17.088392563805776
127,99,97032.30435324884,1313,55.761602568344955,1000000.0,4.84129647845878,71.55191164317911,981454.9479166666,-15.790309074834155,15.790309074834155,15.790309074834155,20.631605553292935,97032.30435324884,57.884271220472755,143.27222792998992,-2.1226686521277998,2.1226686521277998,2.1226686521277998,6.96396513058658,74.85185218507124,492.58897896797555,976771.0241787134,492.58897896797555,-19.090249616726283,19.090249616726283,19.090249616726283,23.931546095185062,60.19460909205213,191.7591402082568,991841.341155856,191.7591402082568,-4.433006523707178,4.433006523707178,4.433006523707178,9.274303002165958
128,78,41343.73316320117,1761,29.75241280623166,1000000.0,21.167893283654514,39.29630940829677,1000000.0,-9.54389660206511,9.54389660206511,9.54389660206511,11.623996681589404,41343.73316320117,43.17158044480715,375.6699362122765,-13.419167638575487,13.419167638575487,13.419167638575487,7.748725645079027,35.7425919697304,910.9490811227935,999999.9999972638,910.9490811227935,-5.990179163498738,5.990179163498738,5.990179163498738,15.177714120155777,31.987545765538094,459.49931755711145,996383.5504954896,459.49931755711145,-2.2351329593064335,2.2351329593064335,2.2351329593064335,18.93276032434808
129,95,640053.7910601605,389,88.25316328300612,1000000.0,37.33285719311994,89.04340907956039,1000000.0,-0.7902457965542737,0.7902457965542737,0.7902457965542737,38.123102989674216,640053.7910601605,79.42997570517447,55.16923051254367,8.823187577831646,8.823187577831646,8.823187577831646,28.509669615288296,82.42130078598672,78.15052017515946,996279.8271588851,78.15052017515946,5.831862497019401,5.831862497019401,5.831862497019401,31.50099469610054,79.43454263075847,55.17002918955959,996270.7812590257,55.17002918955959,8.818620652247645,8.818620652247645,8.818620652247645,28.514236540872297
130,291,428767.24134875566,1862,64.24133817607606,1000000.0,13.32103208618988,62.16179864203406,990070.4565460207,2.0795395340419986,2.0795395340419986,2.0795395340419986,11.241492552147882,428767.24134875566,55.02243417610984,189.31248490904724,9.218903999966216,9.218903999966216,9.218903999966216,4.102128086223665,54.11700016030115,444.0809491637236,991615.0640133315,444.0809491637236,10.124338015774903,10.124338015774903,10.124338015774903,3.1966940704149778,55.02243417575439,189.31248490904724,990317.0934710383,189.31248490904724,9.218904000321665,9.218904000321665,9.218904000321665,4.102128085868216
131,406,900952.6845827018,1145,67.78387645868317,1000000.0,16.863570368796992,72.82866454091292,981745.5771610381,-5.044788082229758,5.044788082229758,5.044788082229758,21.90835845102675,900952.6845827018,59.867291961559914,134.9000639906401,7.916584497123253,7.916584497123253,7.916584497123253,8.94698587167374,73.15645292825906,274.69260260923886,988018.3109211372,274.69260260923886,-5.37257646957589,5.37257646957589,5.37257646957589,22.236146838372882,59.544353367050455,148.73751790889537,990845.6786487977,148.73751790889537,8.239523091632712,8.239523091632712,8.239523091632712,8.62404727716428
